Rejection Checked,Rejection Found,Row #,FormattedAccuracy,ErrorCode
"Ambulance Drop Off Location City (2420H N401) length must be between 2 and 30 chars and must contain valid chars (BIG_CHARS_LIST ""0-9,a-z,A-Z,'-',' ',',','.','(',')','/','#','!','@','$','%','^','&','+','=','_','\\','|',';','<','?','{','}','\[','\]','\''"").
Ambulance Drop Off Location City is required when the 2420H Loop is present.",Loop 2420H (Ambulance Drop-off Location) is used. It should not be used when loop 2310F is used with the same information.,588,43%,0x3938C72
Ambulance Drop Off Location State (2420H N402) is required when the Country Code (2420H N404) is not present. Ambulance Drop Off Location State must be a valid State.,Loop 2420H (Ambulance Drop-off Location) is used. It should not be used when loop 2310F is used with the same information.,589,54%,0x3938C72
Ambulance Drop Off Location Zip (2420H N403) is required when the Country Code (2420H N404) is not present. Ambulance Drop Off Location Zip must be a valid Zip for the state in N402.,Loop 2420H (Ambulance Drop-off Location) is used. It should not be used when loop 2310F is used with the same information.,590,55%,0x3938C72
The Other Payer Primary Identifier (2430 SVD01) Is Required when the Line Adjudication Information (2430 SVD) is Present.,Value of element SBR01 is incorrect. Primary payer is not specified (elements SBR01 in loops 2000B/2320 do not have 'P' value). It is expected to be used when other payers are known to be involved. Segment [dpe.rec.gdl.id] is defined in the guideline at p,591,50%,0x3939460
"Service Line Paid Amount (2430 SVD02) is Required When The Line Adjudication Information (2430 SVD) is Present.
If The Service Line Paid Amount is Present, it Must Be Numeric, Must Be >= $0, Must Be <= $99,999,999.99, and Cannot Exceed 2 Decimal Places.",COB service line balancing is failed : charge amount (SV102) '[emp.ec_ServiceAmount]' does not equal sum of paid amount (SVD02) and all line adjustment amounts (CAS) '[emp.ec_AdjAmount]'. Segment [dpe.rec.gdl.id] is defined in the guideline at position [d,592,43%,0x3938EDD
"If the subscriber has multiple Blue on Blue Policies and any of them are P, we do not edit at this time.
If the claim is MCD2 or FEP Paper we do not edit.
Group Code (2430 CAS01), Reason Code (2430 CAS02) and Amount (2430 CAS03) are required when Service Line Paid Amount (2430 SVD02) and Line Charges (2400 SV102) not equal.",COB service line balancing is failed : charge amount (SV102) '[emp.ec_ServiceAmount]' does not equal sum of paid amount (SVD02) and all line adjustment amounts (CAS) '[emp.ec_AdjAmount]'. Segment [dpe.rec.gdl.id] is defined in the guideline at position [d,593,37%,0x3938EDD
"Group Code (2430 CAS01), Reason Code (2430 CAS02) and Amount (2430 CAS03) are required when Service Line Paid Amount (2430 SVD02) and Line Charges (2400 SV102) not equal.",COB service line balancing is failed : charge amount (SV102) '[emp.ec_ServiceAmount]' does not equal sum of paid amount (SVD02) and all line adjustment amounts (CAS) '[emp.ec_AdjAmount]'. Segment [dpe.rec.gdl.id] is defined in the guideline at position [d,594,39%,0x3938EDD
"Product Qualifier (2430 SVD03-01) Required when Line Adjudication Information (2430 SVD) is Present.
If Present, Product Qualifier Must be HC.",Loop 2430 (Line Adjudication Information) is used. It is not expected to be used when loop 2320 is not used. Loop [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br}This error was detected at:{br}{tab}Segment Count: [dpe.dc]{br}{tab,595,32%,0x3938C6B
"Product Qualifier (2430 SVD03-01) Required when Line Adjudication Information (2430 SVD) is Present.
If Present, Product Qualifier Must be HC, IV, WK.",Loop 2430 (Line Adjudication Information) is used. It is not expected to be used when loop 2320 is not used. Loop [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br}This error was detected at:{br}{tab}Segment Count: [dpe.dc]{br}{tab,596,29%,0x3938C6B
"If the 2430 SVD segment is present, Procedure Code (2430 SVD03-02) is required.
Procedure Code must be a valid HCPCS code for the Service Dates (2400 DTP03).",Value of sub-element SVD03-05 has been already used. Procedure modifier codes are expected to be unique for every product/service. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This error was detected at:{br}{ta,597,58%,0x39395EE
"If present, Modifier 1 (2430 SVD03-03) must be 2 characters in length.
If present, Modifier 1 must be a valid HCPCS Modifier.
When present, Modifier 1 must be a valid HCPCS Modifier (2430 SVD03-03) for Service From (2400 DTP03) and Service To (2400 DTP03) dates and/or Statement From (2300 DTP03) and Statement To (2300 DTP03) dates.
If the HCPCS Code (2430 SV302-2) is A0021-A0999, the Modifier will not be validated.
Multiple occurrences of the same modifier is not allowed.",Value of sub-element SV101-04 has been already used. Procedure modifier codes are expected to be unique for every product/service. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This error was detected at:{br}{ta,598,39%,0x39395EE
"If present, Modifier 1 (2430 SVD03-03) must be present.
If present, Modifier 2 (2430 SVD03-04) must be 2 characters in length.
If present, Modifier 2 must be a valid HCPCS Modifier.
When present, Modifier 2 must be a valid HCPCS Modifier (2430 SVD03-04) for Service From (2400 DTP03) and Service To (2400 DTP03) dates and/or Statement From (2300 DTP03) and Statement To (2300 DTP03) dates.
If the HCPCS Code (2430 SV302-2) is A0021-A0999, the Modifier will not be validated.
Multiple occurrences of the same modifier is not allowed.",Value of sub-element SV101-04 has been already used. Procedure modifier codes are expected to be unique for every product/service. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This error was detected at:{br}{ta,599,35%,0x39395EE
"If Modifier 3 (2430 SVD03-05) is present, Modifier 2 (2430 SVD03-04) must be present.
If present, Modifier 3 (2430 SVD03-05) must be 2 characters in length.
If present, Modifier 3 must be a valid HCPCS Modifier.
When present, Modifier 3 must be a valid HCPCS Modifier (2430 SVD03-05) for Service From (2400 DTP03) and Service To (2400 DTP03) dates and/or Statement From (2300 DTP03) and Statement To (2300 DTP03) dates.
If the HCPCS Code (2430 SV302-2) is A0021-A0999, the Modifier will not be validated.
Multiple occurrences of the same modifier is not allowed.",Value of sub-element SVD03-05 has been already used. Procedure modifier codes are expected to be unique for every product/service. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This error was detected at:{br}{ta,600,39%,0x39395EE
"If Modifier  (2430 SVD03-06) is present, Modifier 3 (2430 SVD03-05) must be present.
If present, Modifier 4 (2430 SVD03-06) must be 2 characters in length.
If present, Modifier 4 must be a valid HCPCS Modifier.
When present, Modifier 4 must be a valid HCPCS Modifier (2430 SVD03-06) for Service From (2400 DTP03) and Service To (2400 DTP03) dates and/or Statement From (2300 DTP03) and Statement To (2300 DTP03) dates.
If the HCPCS Code (2430 SV302-2) is A0021-A0999, the Modifier will not be validated.
Multiple occurrences of the same modifier is not allowed.",Value of sub-element SV101-04 has been already used. Procedure modifier codes are expected to be unique for every product/service. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This error was detected at:{br}{ta,601,39%,0x39395EE
"If Present, the Procedure Code Description (2430 SVD03-07) cannot exceed 80 chars in length and must be AlphaNumeric.",Value of sub-element SV101-02 is incorrect. Expected value is from external code list - Workers Compensation Specific Procedure and Supply Codes (576) when SV101-01='WK'. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{b,602,33%,0x3939649
"If Present, Must Be Numeric and Must Be <= 9999.9.
For Medicare and MedipakAdvantage Paid Service Unit Count Must Be >= 0 and <= 9999.9.","Segment DTP (Date - Acute Manifestation) is missing. It is expected to be used when CR208 is 'A' or 'M' in loop 2300, claim involves spinal manipulation, and payer is Medicare.{br}{br}This segment was expected after:{br}{tab}Segment Count: [dpe.dc]{br}{ta",603,42%,0x3938AEA
"If 2430 SVD segment is present, Paid Units Of Service (2430 SVD05) must be present. Paid Units Of Service must be numeric, greater than or equal to zero, not more than 9999.",Value of element DTP03 (Service Date) is incorrect. Value for date or start period date is expected to be a date earlier than the Transaction Creation Date. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This err,604,38%,0x3939388
"If present, Bundled Line Number (2430 SVD05) Must be Numeric (Whole Integer), Max Length of 6 Digits. Medicare and MedipakAdvantage do not allowd ecimals.",Value of element [dpe.rec.gdl.id][dpe.gdl.sq] does not look like a valid Phone Number. Phone Number and Area Code consisting from all zeros is not compliant. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This er,605,29%,0x393943D
"If 2430 CAS segment is present, Paid Units Of Service (2430 SVD05) must be present. Paid Units Of Service must be numeric, greater than or equal to zero, not more than 9999.",Value of element DTP03 (Service Date) is incorrect. Value for date or start period date is expected to be a date earlier than the Transaction Creation Date. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This err,606,38%,0x3939388
"If present, the Claim Adjustment Group Code (2430 CAS01) must be CO, CR, OA, PI, or PR.
The Claim Adjustment Group Code is required when the 2430 CAS Segment is present.","Segment CAS is used. New instance of segment CAS should not be used with the same Adjustment Group Code (CAS01) when previous one has not-used adjustment
trio codes.",607,50%,0x3938BBE
"When Claim Adjustment (2430 CAS) is Present, Group Code (2330 CAS01) , Reason Code (2430 CAS02), and Amount (2430 CAS03) Must be Present.","Segment CAS is used. New instance of segment CAS should not be used with the same Adjustment Group Code (CAS01) when previous one has not-used adjustment
trio codes.",608,35%,0x3938BBE
CAS Cannot Be Present When Medicare is Primary Payer,Value of element SBR01 is incorrect. Primary payer is not specified (elements SBR01 in loops 2000B/2320 do not have 'P' value). It is expected to be used when other payers are known to be involved. Segment [dpe.rec.gdl.id] is defined in the guideline at p,609,56%,0x3939460
"When Adjustment Amount 1 (2430 CAS03) is present, but Adjustment Reason Code 1 (2430 CAS02) is missing, then ""Adjustment Reason Code 1 Required When Adjustment Amount 1 Is Present"" is displayed.
For FEP, Medicare and Medipak Advantage, the Adjustment Reason Code Must be a Valid Code for the Check/Remittance Date (2430B DTP 573).","Segment LQ is missing. Remark codes are required when Claim Adjustment Reason Code 16, 17, 96, 125, 148, 162, 226, 227 or A1 is used in CAS segment.",610,44%,0x3938BD5
Claims with DOS on or after 4/1/2013 submitted from providers with Medicare primary and cob information populated must use CARC code 223 if date submitted to AHIN is 1/5/2014 and earlier and must use CARC code 253 if date submitted to AHIN is 1/6/2014 and later.,"Segment DTP (Date - Acute Manifestation) is missing. It is expected to be used when CR208 is 'A' or 'M' in loop 2300, claim involves spinal manipulation, and payer is Medicare.{br}{br}This segment was expected after:{br}{tab}Segment Count: [dpe.dc]{br}{ta",611,39%,0x3938AEA
"When Adjustment Reason Code (2430 CAS02) is present, the Adjustment Amount (2430 CAS03) is Required.
For Medicare and Medipak Advantage, the Adjustment Amount:
 is Required when the 2430 CAS Segment is Present.
 Must be Numeric
 Must be >= -99,999,999.99 and <= 99,999,999.99
 Must Not Equal 0
 Limited to 0, 1, or 2 Decimal Places",Segment CAS (Claim Level Adjustments) is used. It should not be used when segment AMT (Coordination of Benefits (COB) Total Non-covered Amount) is used. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br}This error was detec,612,38%,0x3938B5B
Adjustment Quantity (2430 CAS04) Cannot Exceed a Length of 15 and Cannot be 0.,Value of sub-element SV202-01 is incorrect. Value 'ZZ' cannot be used till mandated by Hipaa.,613,43%,0x3939662
"Adjustment Reason Code (2430 CAS05) is Required When Adjustment Amount (2430 CAS06) is Present
For FEP, Medicare and Medipak Advantage The Adjustment Reason Code Must be a Valid Code for the Check/Remittance Date (2430B DTP 573).",Value of element CAS05 has been already used. Claim Adjustment Reason Codes are expected to have unique values within segment CAS. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This error was detected at:{br}{ta,614,40%,0x39393FA
Claims with DOS on or after 4/1/2013 submitted from providers with Medicare primary and cob information populated must use CARC code 223 if date submitted to AHIN is 1/5/2014 and earlier and must use CARC code 253 if date submitted to AHIN is 1/6/2014 and later.,"Segment DTP (Date - Acute Manifestation) is missing. It is expected to be used when CR208 is 'A' or 'M' in loop 2300, claim involves spinal manipulation, and payer is Medicare.{br}{br}This segment was expected after:{br}{tab}Segment Count: [dpe.dc]{br}{ta",615,39%,0x3938AEA
"When Adjustment Reason Code (2430 CAS06) is Present the Adjustment Amount (2430 CAS07) is Required.
For Medicare and Medipak Advantage, the Adjustment Amount:
 Must be Numeric
 Must be >= -99,999,999.99 and <= 99,999,999.99
 Must Not Equal 0
 Limited to 0, 1, or 2 Decimal Places",Segment CAS (Claim Level Adjustments) is used. It should not be used when segment AMT (Coordination of Benefits (COB) Total Non-covered Amount) is used. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br}This error was detec,616,32%,0x3938B5B
Adjustment Quantity (2430 CAS07) Cannot Exceed a Length of 15 and Cannot be 0.,Value of sub-element SV202-01 is incorrect. Value 'ZZ' cannot be used till mandated by Hipaa.,617,43%,0x3939662
"Adjustment Reason Code (2430 CAS08) is Required When Adjustment Amount (2430 CAS09) is Present
For FEP, Medicare and Medipak Advantage The Adjustment Reason Code Must be a Valid Code for the Check/Remittance Date (2430B DTP 573).",Value of element CAS05 has been already used. Claim Adjustment Reason Codes are expected to have unique values within segment CAS. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This error was detected at:{br}{ta,618,40%,0x39393FA
Claims with DOS on or after 4/1/2013 submitted from providers with Medicare primary and cob information populated must use CARC code 223 if date submitted to AHIN is 1/5/2014 and earlier and must use CARC code 253 if date submitted to AHIN is 1/6/2014 and later.,"Segment DTP (Date - Acute Manifestation) is missing. It is expected to be used when CR208 is 'A' or 'M' in loop 2300, claim involves spinal manipulation, and payer is Medicare.{br}{br}This segment was expected after:{br}{tab}Segment Count: [dpe.dc]{br}{ta",619,39%,0x3938AEA
"When Adjustment Reason Code (2430 CAS09) is Present the Adjustment Amount (2430 CAS10) is Required.
For Medicare and Medipak Advantage, the Adjustment Amount:
 Must be Numeric
 Must be >= -99,999,999.99 and <= 99,999,999.99
 Must Not Equal 0
 Limited to 0, 1, or 2 Decimal Places",Segment CAS (Claim Level Adjustments) is used. It should not be used when segment AMT (Coordination of Benefits (COB) Total Non-covered Amount) is used. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br}This error was detec,620,32%,0x3938B5B
Adjustment Quantity (2430 CAS10) Cannot Exceed a Length of 15 and Cannot be 0.,Value of sub-element SV202-01 is incorrect. Value 'ZZ' cannot be used till mandated by Hipaa.,621,43%,0x3939662
"Adjustment Reason Code (2430 CAS11) is Required When Adjustment Amount (2430 CAS12) is Present
For FEP, Medicare and Medipak Advantage The Adjustment Reason Code Must be a Valid Code for the Check/Remittance Date (2430B DTP 573).",Value of element CAS05 has been already used. Claim Adjustment Reason Codes are expected to have unique values within segment CAS. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This error was detected at:{br}{ta,622,40%,0x39393FA
Claims with DOS on or after 4/1/2013 submitted from providers with Medicare primary and cob information populated must use CARC code 223 if date submitted to AHIN is 1/5/2014 and earlier and must use CARC code 253 if date submitted to AHIN is 1/6/2014 and later.,"Segment DTP (Date - Acute Manifestation) is missing. It is expected to be used when CR208 is 'A' or 'M' in loop 2300, claim involves spinal manipulation, and payer is Medicare.{br}{br}This segment was expected after:{br}{tab}Segment Count: [dpe.dc]{br}{ta",623,39%,0x3938AEA
"When Adjustment Reason Code (2430 CAS12) is Present the Adjustment Amount (2430 CAS13) is Required.
For Medicare and Medipak Advantage, the Adjustment Amount:
 Must be Numeric
 Must be >= -99,999,999.99 and <= 99,999,999.99
 Must Not Equal 0
 Limited to 0, 1, or 2 Decimal Places",Segment CAS (Claim Level Adjustments) is used. It should not be used when segment AMT (Coordination of Benefits (COB) Total Non-covered Amount) is used. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br}This error was detec,624,32%,0x3938B5B
Adjustment Quantity (2430 CAS13) Cannot Exceed a Length of 15 and Cannot be 0.,Value of sub-element SV202-01 is incorrect. Value 'ZZ' cannot be used till mandated by Hipaa.,625,43%,0x3939662
"Adjustment Reason Code (2430 CAS14) is Required When Adjustment Amount (2430 CAS15) is Present
For FEP, Medicare and Medipak Advantage The Adjustment Reason Code Must be a Valid Code for the Check/Remittance Date (2430B DTP 573).",Value of element CAS05 has been already used. Claim Adjustment Reason Codes are expected to have unique values within segment CAS. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This error was detected at:{br}{ta,626,40%,0x39393FA
Claims with DOS on or after 4/1/2013 submitted from providers with Medicare primary and cob information populated must use CARC code 223 if date submitted to AHIN is 1/5/2014 and earlier and must use CARC code 253 if date submitted to AHIN is 1/6/2014 and later.,"Segment DTP (Date - Acute Manifestation) is missing. It is expected to be used when CR208 is 'A' or 'M' in loop 2300, claim involves spinal manipulation, and payer is Medicare.{br}{br}This segment was expected after:{br}{tab}Segment Count: [dpe.dc]{br}{ta",627,39%,0x3938AEA
"When Adjustment Reason Code (2430 CAS15) is Present the Adjustment Amount (2430 CAS16) is Required.
For Medicare and Medipak Advantage, the Adjustment Amount:
 Must be Numeric
 Must be >= -99,999,999.99 and <= 99,999,999.99
 Must Not Equal 0
 Limited to 0, 1, or 2 Decimal Places",Segment CAS (Claim Level Adjustments) is used. It should not be used when segment AMT (Coordination of Benefits (COB) Total Non-covered Amount) is used. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br}This error was detec,628,32%,0x3938B5B
Adjustment Quantity (2430 CAS16) Cannot Exceed a Length of 15 and Cannot be 0.,Value of sub-element SV202-01 is incorrect. Value 'ZZ' cannot be used till mandated by Hipaa.,629,43%,0x3939662
"Adjustment Reason Code (2430 CAS17) is Required When Adjustment Amount (2430 CAS18) is Present
For FEP, Medicare and Medipak Advantage The Adjustment Reason Code Must be a Valid Code for the Check/Remittance Date (2430B DTP 573).",Value of element CAS05 has been already used. Claim Adjustment Reason Codes are expected to have unique values within segment CAS. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This error was detected at:{br}{ta,630,40%,0x39393FA
Claims with DOS on or after 4/1/2013 submitted from providers with Medicare primary and cob information populated must use CARC code 223 if date submitted to AHIN is 1/5/2014 and earlier and must use CARC code 253 if date submitted to AHIN is 1/6/2014 and later.,"Segment DTP (Date - Acute Manifestation) is missing. It is expected to be used when CR208 is 'A' or 'M' in loop 2300, claim involves spinal manipulation, and payer is Medicare.{br}{br}This segment was expected after:{br}{tab}Segment Count: [dpe.dc]{br}{ta",631,39%,0x3938AEA
"When Adjustment Reason Code (2430 CAS18) is Present the Adjustment Amount (2430 CAS19) is Required.
For Medicare and Medipak Advantage, the Adjustment Amount:
 Must be Numeric
 Must be >= -99,999,999.99 and <= 99,999,999.99
 Must Not Equal 0
 Limited to 0, 1, or 2 Decimal Places",Segment CAS (Claim Level Adjustments) is used. It should not be used when segment AMT (Coordination of Benefits (COB) Total Non-covered Amount) is used. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br}This error was detec,632,32%,0x3938B5B
Adjustment Quantity (2430 CAS19) Cannot Exceed a Length of 15 and Cannot be 0.,Value of sub-element SV202-01 is incorrect. Value 'ZZ' cannot be used till mandated by Hipaa.,633,43%,0x3939662
The Line Adjudication Date (2430 SVD01) Is Required when the Line Adjudication Information (2430 SVD) is Present. The Line Adjudication Date cannot be a future date.,Value of element DTP03 (Adjudication or Payment Date) is incorrect. Value for date or start period date is expected to be a date earlier than the Transaction Creation Date. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].,634,62%,0x3939388
"If Present, the Remaining Patient Liability Amount (2430 AMT02 EAF) Must Be Numeric, >= $0, <= $99,999,999.99, and Not Exceed 2 Decimal Places.",Segment AMT (Remaining Patient Liability) is used. It should not be used when segment AMT (Coordination of Benefits (COB) Total Non-covered Amount) is used. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br}This error was d,635,30%,0x3938B5B
reject medicare ocr claims that are no longer being sent through AR Blue Cross.,Value of element DTP01 is incorrect. Value '349' may not be used when DTP01 in loop 2000 is '357' (termination dates are not to be sent at both the HD and the INS levels for a particular occurrence of loop 2000).,636,29%,0x3939452
"if no payer connection exists for the payer, the claim will reject instead of being stuck in v status.",Segment REF (Other Payer Prior Authorization Number) is used. It should not be used when claim is being submitted for Predetermination of Benefits (CLM19='PB').,637,47%,0x3938B59
"First 3 Characters of Subscriber First Name (2010BA NM104) Must Match Eligibility Database or Appropriate Entry in Name Alias Table.  FEP requires exact match on patient first name or subscriber first name, except when claim is part of Blue on Blue.
Subscriber Date Of Birth (2010BA DMG02) Must Be An Exact Match.
Subscriber Last Name (2010BA NM103) Must Match Eligibility Database.",Value of element DTP03 (Date of First Contact) is incorrect. Value for date or start period date is expected to be a date earlier than the Transaction Creation Date. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br,638,30%,0x3939388
"This field may only contain alpha-numeric values. Any other input will result in ""Alpha/Numeric Data Required"" being displayed.",Value of element CLM12 is incorrect. Value '[dpe.dat.vl]' may be used only for Medicaid claims. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This error was detected at:{br}{tab}Segment Count: [dpe.rec.dc]{br}{t,639,22%,0x39393E2
ERROR IF THE PAYTOPROVIDER IS BLANK AND THE PAYTOPROVIDER FIELD IS NOT IN ERROR ON ANY OTHER EDIT.,Segment REF (Other Payer Secondary Identification) is used. It should not be used after National PlanID is mandated for use. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br}This error was detected at:{br}{tab}Segment Coun,640,67%,0x3938B7A
"If have communication number or qualifier, you must have the other value.
Communication number must be 10 digits if qualifier is FX or TE.",Value of element REF02 (Other Payer Secondary ID) is incorrect. Expected value is Employer's Identification Number (format is '9 digits') when REF01='EI'. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This error,641,48%,0x393938C
"Submitter Contact Qualifier 2 (1000A PER06) must be present when Submitter Contact Number 2 (1000A PER07) is present, and may only contain EM, EX, TE or FX.  When Submitter Contact Qualifier 2 is EX, Submitter Contact Qualifier 1 (1000A PER04) must be TE.",Segment PER (Property and Casualty Patient Contact Information) is used. It is not expected to be used when it provides the same information as segment PER  in loop 2010BA.,642,41%,0x3938B79
"If have communication number or qualifier, you must have the other value.
Communication number must be 10 digits if qualifier is FX or TE.",Value of element REF02 (Other Payer Secondary ID) is incorrect. Expected value is Employer's Identification Number (format is '9 digits') when REF01='EI'. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This error,643,48%,0x393938C
"Submitter Contact Qualifier 3 (1000A PER07) must be present when Submitter Contact Number 3 (1000A PER08) is present, and may only contain EM, EX, TE or FX.  When Submitter Contact Qualifier 3 is EX, Submitter Contact Qualifier 2 (1000A PER05) must be TE.",Segment PER (Submitter EDI Contact Information) is used. New instance of segment PER should not be used when previous one has not been filled out.,644,39%,0x3938BE0
"The Contact Name field (1000A PER02) must be Valid Characters (BIG_CHARS_LIST ""0-9,a-z,A-Z,'-',' ',',','.','(',')','/','#','!','@','$','%','^','&','+','=','_','\\','|',';','<','?','{','}','\[','\]','\''"") and cannot exceed max length of 60 characters.  Contact Name cannot be the same as the Submitter Name (1000A NM103). First iteration of the Contact Name is required. ",Segment DTP (Date - Property and Casualty Date of First Contact) is used. It is not expected to be used when segment REF (Property and Casualty Claim Number) is not used. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br}Th,645,40%,0x3938B52
"If have communication number or qualifier, you must have the other value.
Communication number must be 10 digits if qualifier is FX or TE.",Value of element REF02 (Other Payer Secondary ID) is incorrect. Expected value is Employer's Identification Number (format is '9 digits') when REF01='EI'. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This error,646,48%,0x393938C
"Submitter Contact Qualifier 1 (1000A PER03) must be present and contain EM, TE or FX.",Segment PER (Property and Casualty Patient Contact Information) is used. It is not expected to be used when it provides the same information as segment PER  in loop 2010BA.,647,40%,0x3938B79
"If Submitter Type Qual (1000A NM102) is not present, claim will reject. If Submitter Type Qual (1000A NM102) is not either 1 or 2, claim will reject.",Value of element ST01 (Transaction Set Identifier Code) does not match to value of element GS01 (Functional Identifier Code). Expected value of GS01 is 'HS' for this transaction type. ,648,37%,0x3939440
"If Submitter Last Name (1000A, NM103)  is not present, claim will reject. 
If Submitter Last Name (1000A, NM103) contains invalid characters, of is greater than 60 characters in length, claim will reject.",Value of element REF02 (Claim Identifier For Transmission Intermediaries) is incorrect. Expected value is up to 20 characters. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This error was detected at:{br}{tab}Se,649,27%,0x3939383
"If Submitter Type Qual (1000A NM102) contains value of '2', and Submitter First Name (1000A, NM104) is present, the claim will reject. If Submitter First Name (1000A, NM104) contains invalid characters, the claim will reject.
If Submitter First Name (1000A, NM104) contains more than 35 characters, the claim will reject.",Value of element DTP03 (Date - Service Date) is incorrect. Expected value for date or start period date should be a date earlier than the Claim Adjudication date specified in loop 2330B ('[emp.ec_ExpDate]'). Segment [dpe.rec.gdl.id] is defined in the guid,650,24%,0x3939453
"Submitter Type Qual (1000A NM102) contains ‘2’ and Submitter Middle Name (1000A, NM105) is present, the claim will reject.
If Submitter Middle Name (1000A, NM105) contains invalid characters, claim will reject.
 If Submitter Middle Name (1000A, NM105) contains more than 60 characters, the claim will reject.",Value of element DTP03 (Date - Service Date) is incorrect. Expected value for date or start period date should be a date earlier than the Claim Adjudication date specified in loop 2330B ('[emp.ec_ExpDate]'). Segment [dpe.rec.gdl.id] is defined in the guid,651,18%,0x3939453
"Submitter ID must begin with ""X"", ""U"", or ""E"" and be 5 characters long.",Value of element BHT03 (Beginning of Hierarchical Transaction) is incorrect. Expected value is up to 30 characters. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This error was detected at:{br}{tab}Segment Count,652,36%,0x3939383
"Submitter ID (1000A NM109) is required and must be 5 characters in length 
Primary Payer ID (2010BB NM109) of ""00020,07101"" is only valid when Submitter ID begins with E.
Values of ""07201,07301,04111,042111,044111,04311"" are only valid when Submitter ID begins with C.",Value of element [dpe.rec.gdl.id][dpe.gdl.sq] is incorrect. Value '[dpe.dat.vl]' can be used only when the member's age is between 19 and 25. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This error was detected,653,42%,0x3939439
"If Submitter ID is not present, ""Submitter ID Number Is Missing Or Invalid"" will display.
If Submitter ID's length is not 5, ""Submitter ID Must Have Length Of 5"" will display.",Recommended length of CLM01 element value is not more than 20 characters. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This error was detected at:{br}{tab}Segment Count: [dpe.rec.dc]{br}{tab}Element Count: [dpe,654,40%,0x3939451
"First Iteration of Contact Info Name (1000A, PER02) is required. If the second Iteration of Contact Name (1000A, PER02) is present, claim will reject.
If the Contact Info Name (1000A, PER02) is the same as the Submitter Name (1000A, NM103) the claim will reject.
If Contact Info Name (1000A, PER02) contains more than 60 characters, the claim will reject.",Segment PER (Property and Casualty Subscriber Contact Information) is used. It is not expected to be used when segment REF (Property and Casualty Claim Number) is not used. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br},655,35%,0x3938B52
