Rejection Checked,Rejection Found,Row #,FormattedAccuracy,ErrorCode
"If Billing Provider ID Qualifier (2010BB REF01) is present the Billing Provider ID (2010BB REF02) is Required.
If the Billing Provider ID is present the Billing Provider ID Qualifier is Required.

02/03/2009-DMC-Created per 5010 Implementation.
2010228015-10/22/2010-SLC-Removed Medicare and Medipak Advantage.
2012292012 - 10/22/2012 - slc - added Tyson to edit for baseline
2013123008 - 05/03/2013 - slc - added Exchange Payers to edit for baseline
2013140007 - 05/22/2013 - slc - added Exchange Shop Payer to edit for baseline",Segment REF (Billing Provider Secondary Identification) is used. It is not expected to be used when National Provider ID is mandated for use and NM109 is used in loop 2010AA. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{b,737,63%,0x3938B78
"If Patient Last Name is not present and PTREL not Self, error message ""Patient Last Name Required."" will display.
If Patient Last Name is not left justified, error message ""Patient Last Name Must Be Left Justified"" will display.
If Patient Last Name is UNKNOWN, error message "" Patient Last Name Must Not Be UNKNOWN"" will display.
If Patient Last Name does not contain characters in the list A-Z,'-',' ', or '.', error message ""Patient Last Name Contains Special Characters."" will display.

11/14/2006-DMC-created NE edit for private business.

2012292012 - 10/22/2012 - slc - added Tyson to edit for baseline
2013123008 - 05/03/2013 - slc - added Exchange Payers to edit for baseline
2013140007 - 05/22/2013 - slc - added Exchange Shop Payer to edit for baseline","""Segment DTP (Last Menstrual Period Date) is used. It is not expected to be used when patient is not female (element DMG03 in loop 2010C  is not 'F').
Segment DTP (Last Menstrual Period Date) is used. It is not expected to be used when patient is not fema",738,33%,0x3938B51
"When present, Patient First Name (2010CA NM104) must be left-justified, and cannot contain special characters.

11/14/2006-DMC-created NE edit for private business.
2010351028-01/13/2011-rmp-for ITS, do not require Subscriber First Name
2011122032-09/13/2011- RMP - removed ""first name required""
2011326006 - RMP - 11/22/2011 - remove restriction of UNKNOWN
2012292012 - 10/22/2012 - slc - added Tyson to edit for baseline
2013123008 - 05/03/2013 - slc - added Exchange Payers to edit for baseline
2013140007 - 05/22/2013 - slc - added Exchange Shop Payer to edit for baseline",Element NM104 is missing. It is required when loop 2110C is used (Subscriber is the Patient) and Primary Search Option is utilized.,739,27%,0x39392E4
"If Patient middle name does not contain characters from A-Z, then error message ""Patient Middle Name Contains Special Characters."" will display.

11/14/2006-DMC-created NE edit for private business.

2012292012 - 10/22/2012 - slc - added Tyson to edit for baseline
2013123008 - 05/03/2013 - slc - added Exchange Payers to edit for baseline
2013140007 - 05/22/2013 - slc - added Exchange Shop Payer to edit for baseline",Segment [dpe.gdl.id] ([dpe.gdl.nm]) is used. It is not expected to be used when segment [emp.ec_DepS_G_ID_0] ([emp.ec_DepS_G_Name_0]) is used. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br}This error was detected at:{br,740,19%,0x3938B53
"Patient Address must be present if PTREL not Self and left-justified.
",Element CR110 is used. It should not be used when segment CRC (Ambulance Certification Information) is not used with CRC02 as 'N' and CRCxx as '04'.,741,36%,0x3939318
"Patient City must be present if PTREL not Self and left-justified.

",Element CR110 is used. It should not be used when segment CRC (Ambulance Certification Information) is not used with CRC02 as 'N' and CRCxx as '04'.,742,36%,0x3939318
"Patient State must be present if PTREL not Self and valid.
",Element CR110 is used. It should not be used when segment CRC (Ambulance Certification Information) is not used with CRC02 as 'N' and CRCxx as '04'.,743,36%,0x3939318
"Patient Zip must be present if PTREL not Self and numeric.

",Element CR110 is used. It should not be used when segment CRC (Ambulance Certification Information) is not used with CRC02 as 'N' and CRCxx as '04'.,744,36%,0x3939318
"If patient birth date is not present and PTREL not Self, error message ""Patient Birth Date Must Be Present."" will display.
If patient birth date is not a valid date, error message ""Patient Birth Date Not Valid."" will display.
If patient birth date is greater than the current date, error message ""Patient Birth Date Must Be Less Than Current Date."" will display.

11/14/2006-DMC-created NE edit for private business.
2011115007-05/24/2011-FMB- added ARCAID

2012292012 - 10/22/2012 - slc - added Tyson to edit for baseline
2013123008 - 05/03/2013 - slc - added Exchange Payers to edit for baseline
2013140007 - 05/22/2013 - slc - added Exchange Shop Payer to edit for baseline","Segment DTP (Estimated Date of Birth) is used. It is not expected to be used when patient is not female (element DMG03 in loop 2010C is not 'F').
Segment DTP (Estimated Date of Birth) is used. It is not expected to be used when patient is not female (elem",745,42%,0x3938B51
"Do not allow date of birth that is over 125 years ago.

2016211006 - implementation",Value of element DTM06 (Coverage Period) is incorrect. Start date of period may not be after end date. Expected value is Date in format 'CCYYMMDD-CCYYMMDD' when DTM05 ='RD8'.,746,42%,0x3939387
"If patient gender field is not present and PTREL not Self, ""Patient Gender Code required"" will display.
If patient gender field does not contain M, F, or U, error message ""Patient Gender Code must = (F, M, U)"" will display.

11/14/2006-DMC-created NE edit for private business.

2012292012 - 10/22/2012 - slc - added Tyson to edit for baseline
2013123008 - 05/03/2013 - slc - added Exchange Payers to edit for baseline
2013140007 - 05/22/2013 - slc - added Exchange Shop Payer to edit for baseline",Value of element ST01 (Transaction Set Identifier Code) does not match to value of element GS01 (Functional Identifier Code). Expected value of GS01 is 'HS' for this transaction type. ,747,21%,0x3939440
"Patient Account Number (2300 CLM01) is a required field, cannot exceed 38 characters, and must contain valid characters. Valid characters are:
0-9, A-Z, /(forward slash), .(period), *(splat),  (space), #(number sign), ,(comma), and - (minus sign).

10/26/2007-CLM-PR2007295007 - Added Commercial and Medicaid to edit.
03/24/2009-DMC-Added MPA per ProTrac 2009058024.
2010228015-10/26/2010-DMC-Updated documentation and removed requirement to limit length to 20, per Gary Brooks.
2011115007 - 05/23/2011 - clm - updated edit to match IG and prof edit 1818
2017074032 - 03/17/2017 - rmt - updated message",Value of sub-element [dpe.rec.gdl.id][dpe.par.gdl.sq]-[dpe.gdl.sq] looks invalid. Expected value is from external code list - ICD-9-CM Diagnosis code (131) and a decimal point should not be used. Diagnosis Pointer to this code is required to provide exact,748,24%,0x3939663
"Patient Account Number (2300 CLM01) is a required field.

2017074032 - 03/17/2017 - rmt - new edit",Element CL102 is missing. It is required for all outpatient claims.,749,44%,0x39392E2
"If present, Total Charge (2300 CLM02) must equal the sum of the Charge Amt (2400 SV203) from each line, or the claim will reject.
Total Charge (2300 CLM02) is required, must be numeric, and greater than zero.
Total Charge (2300 CLM02) can be zero when:
 -Procedure Code (2400 SV202-2) is G8000-G8999, 1060F-6020F, 0001F-9999F and claim is for Medicare
 -Procedure Code (2400 SV202-2) is 90663 or G9142 and claim is not for Medicare
 -Billtype (2300 CLM05-01) is 322 or 332 and Revenue Code (2400 SV201) is 0023 is the only Revenue Code on the claim and claim is for ITS or MPA.
Total Charge (2300 CLM02) cannot be greater than 99,999,999.99.

06/19/2007 - RMP - allow claims with G8 hcpcs codes to pass with a zero charge (MCAR only)
per PR2007166026
06/26/2007 - RMP - allow claims with 1060F-6020F hcpcs codes to pass with a zero charge(MCAR only) per PR2007162004
07/12/2007 - RMP - allow claims with 0001F-9999F hcpcs codes to pass with a zero charge(MCAR only) per PR2007190003
2008354008-RMP- FOR ITS and MPA, ALLOW ZERO CHARGE CLAIM IF BILLTYPE IS 322 OR 332 AND REVENUE CODE 0023 IS THE ONLY CODE BILLED.
2009236015 - RMP - 9/3/2009 - allow zero charges for HCPCS Code 90663
2009243020 - RMP - 9/3/2009 - allow zero charges for HCPCS Code G9142
2009348003 - RMP - 12/16/2009 - turn on for BCMDPK, follows BCBS rules
2010246026 - RMP - No Changes Made for 5010
2010246026 - 09/21/2010 - RMP - updated documentation
2010228015-10/26/2010-DMC-Updated documentation.
2012100026 - 04/09/2012 - slc - the edit is checking against: 99999999.99, but needs to look against 9999999999 since the value is carried in AHIN with an implied decimal

2012292012 - 10/22/2012 - slc - added Tyson to edit for baseline
2013123008 - 05/03/2013 - slc - added Exchange Payers to edit for baseline
2013140007 - 05/22/2013 - slc - added Exchange Shop Payer to edit for baseline
2016189019 - 07/14/2016 - rmt - only mcaid, mcar, comm, and mpa allow zero ",COB claim balancing is failed for payer with ID '[emp.PayerID]' (NM109 in loop 2330B): total charge amount (CLM02) '[emp.ec_ClaimAmount]' does not equal sum of paid amount (AMT02 in loop 2320) and all adjustment amounts (CAS in 2320 and 2430) '[emp.ec_Adj,750,35%,0x3938EDC
"The Facility Bill Type field is required.

09/04/2007-CLM-PR2007243011 - Added Commercial and Medicaid.",Value of element TS302 is incorrect. Expected value is from one of the external code lists - Facility Type Code (236 or 237).,751,50%,0x3939343
"Patient Status must be 30 when Bill Type is 112 or 113.
Patient Status cannot be 30 when Bill Type is 111 or 114.

12/5/2006-CLM-PR2006334015 - Conversion of old engine edit.
10/29/2007-DMC-PR2007282006 - added MPA.
2012292012 - 10/22/2012 - slc - added Tyson to edit for baseline
2013123008 - 05/03/2013 - slc - added Exchange Payers to edit for baseline
2013140007 - 05/22/2013 - slc - added Exchange Shop Payer to edit for baseline",Segment PRV (Billing Provider Specialty Information) is used. It cannot be used when every claim has one of the following loops - 2310B or 2310D.,752,43%,0x3938B81
"The Bill Type (2300 CLM05) must be present, 3 Characters Long and pass the following rules:
The first position must be 1-4, 6-8.
Valid combinations for first and second positions are: 11,12,13,14,18,21,22,23,28,32,34,41,43,65,66,71,72,73,74,75,76,77,78,79,81,82,83,84,85,86,89.
When first and second positions are: 11,12,13,14,18,21,22,23,28,71-79,84-86,89, the Third Character Must Be 0-5, 7, 8, O, Q, Or X-Z.
When first and second positions are: 32,34, the Third Character Must Be 0-5, 7-9, A, O, Q, Or X-Z.
When first and second positions are: 41,43, the Third Character Must Be 0-5, 7-9, A-B, D, O, Q, Or X-Z.
When first and second positions are: 65,66, the Third Character Must Be 0-5, 7, 8, F-K, M-P, Q, Or X-Z.
When first and second positions are: 81,82, the Third Character Must Be 0-5, 7, 8, A-E, O, Q, Or X-Z.
When first and second positions are: 83, the Third Character Must Be 0-5, 7, 8, A, O, Q, Or X-Z.

12/6/2006-CLM-PR2006334015 - Conversion of old engine edit.
10/29/2007-DMC-PR2007282006 - added MPA.
11/13/2007-DMC-PR2007306003 - Added ARCAID and COMM to edit.
12/19/2008-RMP-2008316027 - Updated valid bill types to match NUBC guidelines
04/01/2010-RMP-2010085005 - Added billtype 77x
2010246026 - 09/16/10 - SLC - No changes for 5010.
2012165020 - 06/21/2012 - Process Bill Type 078X on AHIN

2012292012 - 10/22/2012 - slc - added Tyson to edit for baseline
2013123008 - 05/03/2013 - slc - added Exchange Payers to edit for baseline
2013140007 - 05/22/2013 - slc - added Exchange Shop Payer to edit for baseline
2013183021 - 07/25/2013 - rmt - third character logic for 078 billtypes
2013323001 - 11/14/2013 - rmt - 33X is no longer valid
2014297022 - 01/01/2015 - rmt - add Q as valid third character (frequency)","Value of element NM101 is incorrect. Expected value is 'DN' for the first iteration of NM1 segment, and 'P3' for the second one. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This error was detected at:{br}{tab}",753,20%,0x3939459
"Pass all facility claims with Billtype (2300 CLM05-01) of 110 after verifying eligibility of member (2010BA NM109), Billing/Payto NPI validity (2010AA and 2010AB), and statement to/from dates (2300 DTP03).

2009355003-RMP-Initial creation
2010246026 - 9/22/10 - fmb - update documentation
2012292012 - 10/22/2012 - slc - added Tyson to edit for baseline
2013123008 - 05/03/2013 - slc - added Exchange Payers to edit for baseline
2013140007 - 05/22/2013 - slc - added Exchange Shop Payer to edit for baseline
2015139032 - 10/11/2015 - rmt - removed ITS",COB claim balancing is failed for payer with ID '[emp.PayerID]' (NM109 in loop 2330B): total charge amount (CLM02) '[emp.ec_ClaimAmount]' does not equal sum of paid amount (AMT02 in loop 2320) and all adjustment amounts (CAS in 2320 and 2430) '[emp.ec_Adj,754,21%,0x3938EDC
"If the Assignment Code (2300 CLM07) is present, it must contain an A or C or the claim will reject.
If this is a Medicare or MediPak Advantage claim, it must be present or the claim will reject.

05/25/2007-DMC-revised closing bracket from ""{"" to ""}"" per ProTrac 2007143006.
10/24/2007-CLM-Added Commercial and Medicaid to edit.
2010228015-10/26/2010-DMC-Updated documentation.
",Value of sub-element HI01-02 can not be verified because there were no pointers to this code. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This error was detected at:{br}{tab}Segment Count: [dpe.rec.dc]{br}{tab,755,45%,0x3939607
"If this field is not present or if it does not contain a Y or N, error message ""Benefits Assignment Indicator must Contain a Y or N"" will display.

11/28/2007-DMC-Added ARCAID and COMM per ProTrac 2007320002.
2012038029 - RMP - 02/20/2012 - added MPA",Segment REF (Referring Provider Secondary Identification) is used. It is not expected to be used when National Provider ID is mandated for use and NM109 is used. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br}This error ,756,44%,0x3938B78
"If this field is not present, ""Release of Information Code Required"" will display.

If this field is present and does not contain ""A,I,M,N,O or Y, ""Release of Information Code Must = (A, I, M, N, O, Y)"" will display.

08-08-2006-DMC-Created conversion edit.
12/07/2007-DMC-Added COMM and ARCAID per ProTrac 2007331005.
2012038029 - RMP - 02/20/2012 - added MPA",Value of element ST01 (Transaction Set Identifier Code) does not match to value of element GS01 (Functional Identifier Code). Expected value of GS01 is 'HS' for this transaction type. ,757,42%,0x3939440
"When present, Delay Reason Code must contain a number between 1 and 11, or 15.

09/06/2007-CLM-PR2007243014 - Added Commercial and Medicaid.
",Value of element BPR07 is incorrect. Expected value is from external code list - Canadian Bank Branch and Institution Number (91) when BPR06='04'.,758,43%,0x3939320
"If the Discharge Hour (2300 DTP096) is not present, this is an inpatient claim, and the Claim Frequency is 1 or 4, the claim will reject if the Patient Status (2300 CL103) is not 30.  

If the Discharge Time (2300 DTP096) is present, it must be numeric and 2 digits 00-23.

When the Hours are present, the Minutes are Required.

2010228015-10/26/2010-DMC-Updated documentation.
2012038029 - RMP - 02/20/2012 - adjusted logic to look at valid values
2012255007 - SLC - 09/12/2012 - hours must be 00-23 and 2 digits, require minutes when hours are present",Element CL101 is used. It is not expected to be used when claim is not inpatient.,759,40%,0x3939313
"If the Discharge Time (2300 DTP096) is present, it must be numeric and 2 digits 00-23.
When the Minutes are Present, the Hour is required.
For Medicaid and Commercial claims, when Bill Type begins with 11, 12, 18, 21, 22, 28, 41, or 51 and its third digit is 1 or 4, the Discharge Hour is required. 


10/31/2007-CLM-PR2007295007 - Converted Commercial and Medicaid edits.
2012255007 - SLC - 09/12/2012 - hours must be 00-23 and 2 digits, require hour when minutes present.
2015065019 - rmt - 03/26/2015 - add all lobs",Value of element REF02 (Information Receiver Secondary ID) is incorrect. Expected value is National Provider ID (format is '10 digits starting from 1-4 with optional '80840' prefix and last check digit') when REF01='HPI'.,760,31%,0x3939390
"If the Discharge Time (2300 DTP096) is present, it must be numeric, or the claim will reject.

If the Discharge Time (2300 DTP096) is present, it must be a valid hour/minute value or the claim will reject.

If Minutes are Present, the Hour is Required.

2012038029 - RMP - 02/20/2012 - new
2012255007 - SLC - 09/30/2012 - update edit to include 2 digit length check. add mcar,caid,comm.  require hours when minutes are present.
2015065019 - rmt - 03/26/2015 - add all lobs",Value of element REF02 (Referring CLIA Facility Identification) is incorrect. Expected value is CLIA number (format is '10 characters where the third character is 'D''). Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br,761,36%,0x3939381
"If Billtype contains values 110-111,115-129,180-182,185-189,210-211,215-221,225-229 or 280-282,285-289:
The admission date must be a valid date or ""Admission Date Must Be A Valid Date."" message will display.
The admission date must not be less than Service From date or ""Admission Date Must Be Greater Than or Equal To Service From Date."" message will display.
The admission date must not be greater than the Statement To date or ""Admit Date Must Be Less Than Statement To Date."" message will display.

11/30/2006-DMC-created NE edit for ITS, FEP, AO.
05/21/2009-DMC-Removed 183,184,283,284 from billtypes list per Protrac 2009132001.
2012251002 - rmt - 09/07/2012 - removed billtypes with 7 in third position from list, 7 is replacement claim and should not reject for admission date outside the statement date range.",Value of element DTP03 (Admission Date) is incorrect. Value for date or start period date is expected to be a date earlier than the Transaction Creation Date. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This e,762,39%,0x3939388
"If Billtype contains values 110-111,115,118-119,120-125,128-129,180-185,188-189,210-211,215,218-219,220-221,225,228-229,280-285,288-289,410-415,418-419,510-515,518-519:
The admission date must be a valid date or ""Admission Date Must Be A Valid Date."" message will display.
The admission date must not be less than Service From date or ""Admission Date Must Be Greater Than or Equal To Service From Date."" message will display.
The admission date must not be greater than the Statement To date or ""Admit Date Must Be Less Than Statement To Date."" message will display.

11/30/2006-DMC-created NE edit for HA and USA only.
10/26/2007-CLM-PR2007295007 - Added Medipak Advantage to edit.
11/30/2007-RMP-2007310022 - Added BCBS
2008175008 - rmp - 6/27/08 - removed 183, 184, 283, 284, 413, 414 from list. These are interim billtypes and should not have admission dates after the statement date. This logic was conflicting with edit 1365 that requires the admission date for claims with these billtypes to be before the statement date.
2012251002 - rmt - 09/07/2012 - removed billtypes with 7 in third position from list, 7 is replacement claim and should not reject for admission date outside the statement date range.
2012292012 - 10/22/2012 - slc - added Tyson to edit for baseline
2013123008 - 05/03/2013 - slc - added Exchange Payers to edit for baseline
2013140007 - 05/22/2013 - slc - added Exchange Shop Payer to edit for baseline",Value of element DTP03 (Admission Date) is incorrect. Value for date or start period date is expected to be a date earlier than the Transaction Creation Date. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This e,763,40%,0x3939388
"Admission Date is required for all Inpatient and specific Outpatient BlueCard claims (Billtypes equal to  11x, 18x, 21x, 28x, 65x, 66x, 86x, 12x, 22x, 32x, 34x, 41x, 81x, 82x, where x is any valid Frequency Code.) 

Bill Type 112 - First Interim Claim - Statement From Date Must Equal The Date Of Admission

Bill Type 113, 114 - Interim And Interim Last Bill - Admission Date Must Be Present And Less Than The Statement From Date

2008175008 - rmp - added 212, 213, 214, 182, 183, 184, 282, 283, 284, 412, 413, 414, 652, 653, 654, 662, 663, 664, 842, 843, 844, 862, 863, 864, 892, 893, 894
2012292012 - 10/22/2012 - slc - added Tyson to edit for baseline
2013123008 - 05/03/2013 - slc - added Exchange Payers to edit for baseline
2013140007 - 05/22/2013 - slc - added Exchange Shop Payer to edit for baseline
2015139032 - 10/11/2015 - rmt - Require Admit Date for all inpatient and specific outpatient claims",Segment DTP (Date - Admission) is missing. It is required on all inpatient claims.{br}{br}This segment was expected after:{br}{tab}Segment Count: [dpe.dc]{br}{tab}Character: [emp.cp],764,25%,0x3938AF8
"When present, Patient Admission Date (2300 DTP435) must be a valid date. Patient Admission Date cannot be a future date.

2010228015-10/26/2010-DMC-Updated documentation.
2011115007 - 05/23/2011 - clm - added commercial
2011118005 - 05/23/2011 - clm - added medicaid",Value of element DTP03 (Admission Date) is incorrect. Start date of period may not be after end date. Expected value is Date in format 'CCYYMMDD-CCYYMMDD' when DTP02 ='RD8'.,765,55%,0x3939387
"If the Admission Hour (2300 DTP435) is present, it must be numeric and 2 digits 00-23.

The Hour is Required when Minutes are Present.

2010228015-10/26/2010-DMC-Updated documentation.
2011115007 - 05/23/2011 - clm - added commercial
2011118005 - 05/23/2011 - clm - added medicaid
2012038029 - RMP - 02/20/2012 - updated to include ""less than 00""
2012255007 - SLC - 09/12/2012 - hours must be 00-23 and 2 digits, require hours when minutes are present
2015061030 - rmt - 03/12/2015 - add all lobs",Element CR110 is used. It should not be used when segment CRC (Ambulance Certification Information) is not used with CRC02 as 'N' and CRCxx as '04'.,766,40%,0x3939318
"If the Admission Time (2300 DTP435) is present, it must be numeric, or the claim will reject.

If the Admission Time (2300 DTP435) is present, it must be a valid hour/minute value or the claim will reject.

Admission Minutes are Required when Hour is Present.

2012038029 - RMP - 02/20/2012 - new
2012255007 - SLC - 09/30/2012 - update edit to include 2 digit length check. add mcar,caid,comm, require Minutes when hour is present.
2015065019 - rmt - 03/26/2015 - add all lobs",Value of element REF02 (Referring CLIA Facility Identification) is incorrect. Expected value is CLIA number (format is '10 characters where the third character is 'D''). Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br,767,36%,0x3939381
"Statement From Date must be present, must be less than or equal to the current date or Statement To Date. If Service Date Qualifier is ""D8"" the Statement To date is not required.
Service Date Qualifier must be present and must be either D8 or RD8.

10/21/2008-DMC-Revised error messages per ProTrac 2008288016.",Value of element DTP03 (Statement Dates) is incorrect. Value for date or start period date is expected to be a date earlier than the Transaction Creation Date.,768,48%,0x3939388
"The Statement From Date (2300 DTP03 434) must be present, right-justified, a valid date, less than or equal to the Statement To Date (2300 DTP03 434), greater than or equal to the Patient Birth Date (2010CA DMG02) if Patient Relationship Indicator (2000C PAT01) is not Self (18), and greater than or equal to the Subscriber Birth Date (2010BA DMG02) if Patient Relationship Indicator (2000B SBR02) is Self (18) and less than or equal to the current system date.

For ITS and Medipak Advantage, claims with a Bill Type (2300 CLM05) of 322 or 332 the statement date can be a future date and cannot have a length of stay exceeding 60 days.

11/28/2006-CLM-PR2006319027 - Conversion of old engine edit.
03/19/2008-DMC-Converted ARCAID and COMM per ProTrac 2008067002.
2008354008-RMP- ITS and MPA claims with Bill Type of 322/332 can have a future date, cannot have a length of stay exceeding 60 days
2009355003-RMP-changed order to 20, Pass all facility claims with Billtype of 110 after verifying eligibility, Billing/Payto NPI, and statement to/from dates.
2010246026 - 09/15/10 - SLC - adjusted ITS & MPA exclusion to allow rest of edit to execute when it's a future date for 5010.


2012292012 - 10/22/2012 - slc - added Tyson to edit for baseline
2013123008 - 05/03/2013 - slc - added Exchange Payers to edit for baseline
2013140007 - 05/22/2013 - slc - added Exchange Shop Payer to edit for baseline",Value of element DMG02 (Patient Birth Date) is incorrect. Value for date or start period date is expected to be a date earlier than the Transaction Creation Date.,769,33%,0x3939388
"Statement To Date must be present, must be greater than or equal to the Statement From Date, must be less than or equal to the current date. If Service Date Qualifier is ""D8"" the Statement To date is not required.",Value of element DTP03 (Statement Dates) is incorrect. Value for date or start period date is expected to be a date earlier than the Transaction Creation Date.,770,51%,0x3939388
"The Statement To Date (2300 DTP03 434) must be present, right-justified, a valid date, greater than or equal to the Statement From Date (2300 DTP03 434), greater than or equal to the Patient Birth Date (2010CA DMG02) if Patient Relationship Indicator (2000C PAT01) is not Self (18), and greater than or equal to the Subscriber Birth Date (2010BA DMG02) if Patient Relationship Indicator (2000B SBR02) is Self (18) and less than or equal to the current system date.

For ITS and Medipak Advantage, claims with a Bill Type (2300 CLM05) of 322 or 332 the statement date can be a future date.

11/28/2006-CLM-PR2006319027 - Conversion of old engine edit.
03/19/2008-DMC-Added ARCAID and COMM per 2008067003.
2008354008-RMP- allow ITS and MPA claims with Bill Type of 322/332 to have a future date
2009355003-RMP-changed order to 20, Pass all facility claims with Billtype of 110 after verifying eligibility, Billing/Payto NPI, and statement to/from dates.
2010246026 - 09/16/10 - SLC - adjusted ITS & MPA exclusion to allow rest of edit to execute when it's a future date for 5010.
2012292012 - 10/22/2012 - slc - added Tyson to edit for baseline
2013123008 - 05/03/2013 - slc - added Exchange Payers to edit for baseline
2013140007 - 05/22/2013 - slc - added Exchange Shop Payer to edit for baseline",Value of element DMG02 (Patient Birth Date) is incorrect. Value for date or start period date is expected to be a date earlier than the Transaction Creation Date.,771,33%,0x3939388
"If outpatient claim (except home health, billtypes 032x) has service dates both prior to and on or after compliance date, claims must be split such that services prior to compliance date are billed on one claim with ICD-9 codes and services on or after compliance date are billed on second claim with ICD-10 codes.

2015243024 - 9/30/2015 - rmt - implementation
2015306012 - 11/15/2015 - rmt - don't require Home Health claims to split","Segment DTP (Date - Acute Manifestation) is missing. It is expected to be used when CR208 is 'A' or 'M' in loop 2300, claim involves spinal manipulation, and payer is Medicare.{br}{br}This segment was expected after:{br}{tab}Segment Count: [dpe.dc]{br}{ta",772,33%,0x3938AEA
"If Repricer Receival date is later than current date, ""Repricer Received Date Must Be Less Than Or Equal To Current Date"" will display.

02/03/2009-DMC-Created per 5010 Implementation.
2012292012 - 10/22/2012 - slc - added Tyson to edit for baseline
2013123008 - 05/03/2013 - slc - added Exchange Payers to edit for baseline
2013140007 - 05/22/2013 - slc - added Exchange Shop Payer to edit for baseline",Value of element DTP03 (Onset of Current Symptoms or Illness Date) is incorrect. Value for date or start period date is expected to be a date earlier than the Transaction Creation Date.,773,41%,0x3939388
"For ITS only:
When Bill Type is 111-119, then Type of Admission must be present, and can only contain 1-9.

11/27/2006-CLM-PR2006317011 - Conversion of old engine edit.
",Value of element BPR07 is incorrect. Expected value is Canadian Bank Branch and Institution Number (format is '8 digits') when BPR06='04'.,774,37%,0x39393A8
"Admission Type (2300 CL101) is required for Medicare and Medipak Advantage Claims

2014014013 - 01/23/2014 - rmt - require CL101 for Medicare
2015141010 - 10/01/2015 - rmt - require CL101 for MPA",Sub-element HI01-09 is missing. Present on Admission Indicator is required for claims involving inpatient admissions to general acute care hospitals or other facilities as required by law.,775,42%,0x39395E8
"If Admission Source Code (2300 CL102) is present and service from date (2300 DTP03) is earlier than July 1, 2010, the Admission Code (2300 CL102) must be 1,2,4-9,B,C,D,E,or F, or the claim will reject.

If Admission Source Code (2300 CL102) is present and the Service From date (2300 DTP03) is after than July 1, 2010, the Admission code (2300 CL102) must be 1,2,4-6,8,9,D,E,or F, or the claim will reject.

When Bill Type (2300 CLM05) begins with 11,12,14,18,21,22,28,32,33,41,51 or 72, then the Admission Source Code (2300 CL102) is required.

10/29/2007-CLM-PR2007295007 - Added Commercial and Medicaid to edit.
05/15/2008-DMC-Removed 3 and A from ValidCharSet and added B,C,D per Protrac 2008130016.
06/10/2008-DMC-Corrected logic per ProTrac 2008158011.
06/11/2008-DMC-Corrected spelling of Admission (from Addmission).
05/12/2010-RMP-Added E and F, 2010132023
06/22/2010-DMC-Removed values 7,B and C per Protrac 2010085010.
07/14/2010-DMC-Revised to include DOS to the deleted values 7,B, and C per Protrac 2010194003.
08/30/2010-DMC-Removed Medicare from edit per Protrac 2010228015.
2010246026-09/03/2010-DMC-Updated documentation.
2010228015-10/26/2010-DMC-Updated documentation.


",Value of element DTP03 (Admission Date) is incorrect. Value for date or start period date is expected to be a date earlier than the Transaction Creation Date. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This e,776,29%,0x3939388
"If Admission Source Code is present and service from date (2300 DTP03) is earlier than July 1, 2010, the Admission code must be 1,2,4-9,B,C,D,E,or F, or the claim will reject.

If Admission Source Code is present and the Service From date (2300 DTP03) is after than July 1, 2010, the Admission code must be 1,2,4-6,8,9,D,E,or F, or the claim will reject.

If billtype (2300 CLM05) is 110-129, 140-149, 180-189, 210-219, 850-869, 131-139, 220-239, 280-289, 320-349, 410-419, 430-439, 650-669, 710-799, 810-849, 890-899 the Admission Source Code is required.

11/30/2006-DMC-created NE edit for private business, (ITS).
05/15/2008-DMC-Removed 3 and A from ValidCharSet and added B,C,D per Protrac 2008130016.
06/10/2008-DMC-Corrected logic per ProTrac 2008158011.
06/11/2008-DMC-Corrected spelling of Admission (from Addmission).
05/12/2010-RMP-Added E and F, 2010132023
06/22/2010-DMC-Removed values 7, B and C per Protrac 2010085010. 
07/14/2010-DMC-Revised to include DOS to the deleted values 7,B, and C per Protrac 2010194003.
2010246026-09/03/2010-DMC-Updated documentation.
2013087008-RMT-added billtypes 131-139, 220-239, 280-289, 320-349, 410-419, 430-439, 650-669, 710-799, 810-849, 890-899 to adm source code requirement",Value of element DTP03 (Admission Date) is incorrect. Value for date or start period date is expected to be a date earlier than the Transaction Creation Date. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This e,777,33%,0x3939388
